experiment,dataset,pair,method,check_id,requirement,status,evidence_files,details
primary_selection,ALL,ALL,Primary selection,P01,Primary selection accesses exact filtered DEV assets only,PASS,outputs/paper_a_safe_correction/reliable_primary/reliable_primary_manifest.json | outputs/paper_a_safe_correction/reliable_primary/reliable_primary_decisions.csv | docs/protocols/paper_a_reliable_primary_protocol.md | scripts/audit_reliable_primary_regime.py,Six hashed inputs are DEV-only; TEST_NOT_USED=true; test_files_read is empty.
primary_selection,ALL,ALL,Primary selection,P02,Primary selection rule is frozen and has no post-hoc MRR margin,PASS,outputs/paper_a_safe_correction/reliable_primary/reliable_primary_manifest.json | outputs/paper_a_safe_correction/reliable_primary/reliable_primary_decisions.csv | docs/protocols/paper_a_reliable_primary_protocol.md | scripts/audit_reliable_primary_regime.py,"{""post_hoc_mrr_margin"": null, ""primary"": ""model with higher pooled DEV MRR"", ""reliable_primary_if_and_only_if"": [""pooled DEV primary-minus-secondary delta > 0"", ""all 3 paired-seed deltas > 0"", ""original-triple clustered bootstrap 95% CI lower bound > 0""], ""tie_policy"": ""boundary / non-reliable-primary""}"
primary_selection,ALL,ALL,Primary selection,P03,Primary selection decision table exists,PASS,outputs/paper_a_safe_correction/reliable_primary/reliable_primary_manifest.json | outputs/paper_a_safe_correction/reliable_primary/reliable_primary_decisions.csv | docs/protocols/paper_a_reliable_primary_protocol.md | scripts/audit_reliable_primary_regime.py,Decision CSV is present and hashed.
grouped_folds,MKG-W,M-Hyper + NativE,Query-soft / Anchored / core ablations,F01,All seeds and both directions of an original triple share one grouped DEV fold,PASS,outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/baseline_crossfit/dev_crossfit_query_rows.csv,"Validated 4,276 original-triple clusters and 25,656 observations; each cluster has 3 seeds x 2 directions in one fold."
main_static_query_soft_anchored,MKG-W,M-Hyper + NativE,Global alpha,G01,Global alpha is determined from DEV only and inherited unchanged,PASS,outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/full_ranking/selection.json | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/full_ranking/dev_query_rows.csv | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_dev_lock.json,selection_sha256=28f40889a625e53cf14c69111f2225f1d998019987bf6109a46c06126a43db6c; global_alpha=0.6; lock_alpha0=0.6; DEV source hash match=True.
main_static_query_soft_anchored,MKG-W,M-Hyper + NativE,Anchored Dynamic,A01,Anchored beta and confidence threshold are selected using DEV only,PASS,outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_dev_lock.json | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/full_ranking/dev_query_rows.csv | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/full_ranking/selection.json | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_model.pkl,selection_boundary='all fitting and hyperparameter selection use DEV only'; beta=0.5; threshold=0.0.
main_static_query_soft_anchored,MKG-W,M-Hyper + NativE,Query-soft / Anchored Dynamic,A02,"Feature schema, model pair, seeds, alpha grid, and locked parameters match between DEV lock and TEST apply",PASS,outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_dev_lock.json | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_query_rows.csv | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_summary.json,"feature_schema_match=True; alpha_grid_match=True; policy_mirror_match=True; rows=25,644; row_metadata_problems=none."
main_static_query_soft_anchored,MKG-W,M-Hyper + NativE,Global / Query-soft / Anchored Dynamic,A03,TEST apply uses the exact frozen base score/rank assets,PASS,outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/test_full_ranking/test_query_rows.csv | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_query_rows.csv,"Matched 25,644 TEST observations over ranks, reciprocal ranks, Global alpha, and all 21 exact-ranking alpha-grid RR columns."
main_static_query_soft_anchored,MKG-W,M-Hyper + NativE,Anchored Dynamic,A04,An immutable DEV lock is consumed before TEST evaluation,PASS,outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_dev_lock.json | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_model.pkl | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_summary.json,TEST summary embeds an exact copy of the DEV policy; locked model and selection hashes match. The immutable apply path cannot produce this summary without loading the lock.
dynasemble_main,MKG-W,M-Hyper + NativE,DynaSemble,D01,One selector per paired seed is trained on DEV only,PASS,outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_native/lock.json | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_native/dev_query_rows.csv | outputs\paper_a_safe_correction\dynasemble\mkg_w\mhyper_native\selectors\seed1.pt | outputs\paper_a_safe_correction\dynasemble\mkg_w\mhyper_native\selectors\seed2.pt | outputs\paper_a_safe_correction\dynasemble\mkg_w\mhyper_native\selectors\seed3.pt,training_split=dev_only; three seed-specific selector hashes match; TEST excluded from training/selection.
